id,name,city,category,description,ideal_duration_hours,best_time_to_visit,lat,lon
1,Shani Shingnapur Temple,Ahilyanagar,Religious & Spiritual,Famous roofless temple of Lord Shani,1,All Year,19.5864,75.3279
2,Bhandardara Lake,Ahilyanagar,Nature & Scenic,Scenic lake popular for camping,2,All Year,19.5331,73.7563
3,Ratangad Fort,Ahilyanagar,Historical & Cultural,Famous trekking fort near Bhandardara,4,Oct-Mar,19.037,73.679
4,Kalsubai Peak,Ahilyanagar,Wildlife & Adventure,Highest peak in Maharashtra,5,Oct-Mar,19.603193,73.70902
5,Harishchandragad,Ahilyanagar,Historical & Cultural,Trekking fort famous for Konkan Kada,5,Oct-Mar,19.3884,73.7603
6,Bhandardara Dam,Ahilyanagar,Nature & Scenic,Famous camping and firefly hotspot,3,Nov-Feb,19.5322,73.7377
7,Ratangad Fort,Ahilyanagar,Historical & Cultural,Historic fort overlooking Bhandardara,3,Nov-Feb,19.5372,73.7274
8,Wilson Dam,Ahilyanagar,Nature & Scenic,Old dam creating Arthur Lake,1.5,Nov-Feb,19.5317,73.7418
9,Kalsubai Peak,Ahilyanagar,Wildlife & Adventure,Highest peak of Maharashtra,5,Oct-Feb,19.6019,73.7096
10,Bhimashankar Wildlife Sanctuary,Bhimashankar,Sanctuary,Forest and temple,3.5,Oct-Feb,19.0704,73.53389
11,Bhimashankar Temple,Bhimashankar,Religious & Spiritual,Jyotirlinga temple in forest,3,Oct-Feb,19.073254,73.54409
12,Bhimashankar Sanctuary View,Bhimashankar,Nature & Scenic,Lookouts over dense forest,1.5,Oct-Feb,19.07,73.534
13,Ajanta Caves,Chhatrapati Sambhaji Nagar ,Historical & Cultural,Amazing Buddhist cave paintings,4,Nov-Feb,20.55186,75.703332
14,Ellora Caves,Chhatrapati Sambhaji Nagar ,Historical & Cultural,Monolithic Kailasa temple and caves,4,Nov-Feb,20.026821,75.178116
15,Grishneshwar Temple,Chhatrapati Sambhaji Nagar ,Religious & Spiritual,Jyotirlinga close to Ellora,1,All Year,20.029159,75.178067
16,Bibi Ka Maqbara,Chhatrapati Sambhaji Nagar ,Historical & Cultural,Marble mausoleum often called 'Taj of Deccan',1.5,Oct-Feb,19.901869,75.327163
17,Daulatabad Fort,Chhatrapati Sambhaji Nagar ,Historical & Cultural,Imposing hill fort near Chhatrapati Sambhaji Nagar,2.5,Nov-Feb,19.947647,75.221443
18,Chhatrapati Sambhaji Nagar Caves,Chhatrapati Sambhaji Nagar ,Nature & Scenic,Buddhist rock-cut caves,1.5,Nov-Feb,19.931559,75.296432
19,Panchakki,Chhatrapati Sambhaji Nagar ,Historical & Cultural,Historic water mill and gardens,1,All Year,19.892902,75.317497
20,Siddharth Garden & Zoo,Chhatrapati Sambhaji Nagar ,Nature & Scenic,Local zoo and green space,1.5,All Year,19.900274,75.324364
21,Salim Ali Lake,Chhatrapati Sambhaji Nagar ,Nature & Scenic,Birdwatching lake near city,1,Oct-Mar,19.915739,75.319138
22,Himayat Bagh,Chhatrapati Sambhaji Nagar ,Nature & Scenic,Mughal-era garden and nursery,1,All Year,19.90956,75.31552
23,Ellora Historical & Cultural Walk,Chhatrapati Sambhaji Nagar ,Historical & Cultural,Guided walking route around Ellora ,1.5,Oct-Feb,20.026,75.178
24,Ajanta Sunset Point,Chhatrapati Sambhaji Nagar ,Nature & Scenic,Sunset viewpoint near Ajanta,0.75,Nov-Feb,20.552,75.704
25,Ajanta Caves,Chhatrapati Sambhaji Nagar ,Historical & Cultural,Rock-cut caves with ancient murals,3,Oct-Mar,20.55186,75.703311
26,Ellora Caves,Chhatrapati Sambhaji Nagar ,Historical & Cultural,34 monasteries and temples carved in rock,3,Oct-Mar,20.026789,75.179089
27,Daulatabad Fort,Chhatrapati Sambhaji Nagar ,Historical & Cultural,Massive medieval fort,3,Oct-Mar,19.9975,75.2207
28,Bibi Ka Maqbara,Chhatrapati Sambhaji Nagar ,Historical & Cultural,“Mini Taj Mahal” of the Deccan,1.5,All Year,19.915623,75.320274
29,Panchakki,Chhatrapati Sambhaji Nagar ,Historical & Cultural,17th-century water mill and garden,1,All Year,19.871172,75.330954
30,Pandav Caves,Chhatrapati Sambhaji Nagar ,Historical & Cultural,Ancient cave complex,2,Oct-Feb,19.9223,75.2941
31,Bibi Ka Maqbara,Chhatrapati Sambhaji Nagar ,Historical & Cultural,Taj Mahal-like tomb built in 1600s,1.5,Oct-Feb,19.9016,75.32
32,Panchakki,Chhatrapati Sambhaji Nagar ,Historical & Cultural,Mughal-era water mill,1,Oct-Feb,19.8775,75.3154
33,Suntek Caves,Chhatrapati Sambhaji Nagar ,Historical & Cultural,Ancient caves lesser-known than Ajanta,2,Oct-Feb,20.1252,75.2386
34,Ellora Caves,Chhatrapati Sambhaji Nagar ,Historical & Cultural,Historical & Cultural World Historical & Cultural Hindu-Buddhist-Jain caves,3,Oct-Feb,20.0253,75.1792
35,Ajanta Caves,Chhatrapati Sambhaji Nagar ,Historical & Cultural,World-famous Historical & Cultural Buddhist caves,4,Oct-Feb,20.5522,75.7034
36,Daulatabad Fort,Chhatrapati Sambhaji Nagar ,Historical & Cultural,Mighty hill fort with steep climb,3,Oct-Feb,19.9437,75.2213
37,Grishneshwar Temple,Chhatrapati Sambhaji Nagar ,Religious & Spiritual,One of the 12 Jyotirlingas,1,All Year,20.0288,75.2007
38,Swayambhu Ganpati Temple,Dapoli,Religious & Spiritual,Seafront Ganpati temple,1,All Year,17.7703,73.1922
39,Unhavare Hot Springs,Dapoli,Nature & Scenic,Natural hot water springs,1.5,All Year,17.7985,73.2614
40,Harnai Fish Market,Dapoli,Urban & Modern Attractions,Famous evening fish auction market,1.5,All Year,17.8531,73.1649
41,Suvarnadurg Fort,Dapoli,Historical & Cultural,Historic sea fort,2,Oct-Feb,17.8639,73.1669
42,Diveagar Beach,Diveagar,Beaches & Waterfront,Calm beach with fishing village nearby,2.5,Nov-Feb,18.155178,72.984727
43,Harihareshwar Beach,Harihareshwar,Beaches & Waterfront,Pilgrim beach known as Dakshin Kashi,2,Nov-Feb,17.994876,73.017731
44,Jaigad Fort,Jaigad,Historical & Cultural,Coastal fort with sea vistas,1.5,Nov-Feb,17.303689,73.226358
45,Vigneshwar Temple,Junnar,Religious & Spiritual,Ashtavinayak temple known for golden dome,1.5,All year,19.211,73.9898
46,Girijatmak Temple,Junnar,Religious & Spiritual,Hill cave temple part of Ashtavinayak circuit,2,Oct-Mar,19.2927,73.8682
47,Radhanagari Wildlife Sanctuary,Kolhapur ,Wildlife & Adventure,Broadleaf forest and bison habitat,4,Nov-May,16.415171,73.945043
48,Mahalaxmi Temple,Kolhapur ,Religious & Spiritual,Famous Shaktipeeth temple in Kolhapur,1.5,All Year,16.695635,74.233105
49,Kolhapur Rankala Lake,Kolhapur ,Nature & Scenic,Central lake with promenade,1,Oct-Mar,16.70824,74.23925
50,New Palace (Kolhapur),Kolhapur ,Historical & Cultural,Historic royal palace museum,1.5,Oct-Mar,16.694848,74.240257
51,Bhagwati Temple (Kolhapur),Kolhapur ,Religious & Spiritual,Ancient temple complex,1,All Year,16.6958,74.2329
52,Panhala Fort,Kolhapur ,Historical & Cultural,Large fort with historical importance,2.5,Oct-Mar,16.81,74.123
53,Chhatrapati Sambhaji Maharaj Smarak,Kolhapur ,Historical & Cultural,Statue and park area,0.75,All Year,16.703,74.237
54,Magan Sangrahalaya,Kolhapur ,Historical & Cultural,al cultural museum exhibits,1.5,All Year,16.697,74.235
55,Pawankhind,Kolhapur ,Historical & Cultural,War memorial of Baji Prabhu Deshpande,1,All Year,16.2245,73.7659
56,Rankala Lake,Kolhapur ,Nature & Scenic,Beautiful lake and garden for evening walks,1.5,All Year,16.6952,74.218
57,Mahalaxmi Temple,Kolhapur ,Religious & Spiritual,Ancient temple dedicated to Goddess Ambabai,1,All Year,16.6956,74.2293
58,New Palace Museum,Kolhapur ,Historical & Cultural,Palace museum of Kolhapur royalty,1.5,All Year,16.6869,74.2431
59,Panhalgad Fort,Kolhapur ,Historical & Cultural,Historic fort near Kolhapur,3,Oct-Mar,16.812,74.108
60,Kopeshwar Temple,Kolhapur ,Religious & Spiritual,Architectural Shiva temple,1.5,All Year,17.3555,74.5422
61,Panhala Fort,Kolhapur ,Historical & Cultural,Historic hill fort with scenic views,2,Oct-Feb,16.8128,74.1173
62,Rankala Lake,Kolhapur ,Nature & Scenic,Lake promenade with food stalls,1.5,All Year,16.7076,74.2001
63,Mahalaxmi Temple,Kolhapur ,Religious & Spiritual,Major Shakti Peeth with heavy devotees,1,All Year,16.6953,74.233
64,New Palace Museum,Kolhapur ,Historical & Cultural,Museum showcasing royal artifacts,1.5,All Year,16.6882,74.2489
65,Gagangad Fort,Kolhapur ,Historical & Cultural,Fort in Western Ghats with trekking trail,3,Nov-Feb,16.4958,74.0739
66,Khasbag Wrestling Stadium,Kolhapur ,Urban & Modern Attractions,Historic wrestling ground,1,All Year,16.6956,74.2438
67,Kataldhar Waterfall,Lonavala - Khandala,Trekking & Adventure,Massive hidden waterfall requiring rappelling route,2,Jul-Sep,18.735,73.4503
68,Lonavala Market,Lonavala - Khandala,Urban & Modern Attractions,Local market and chikki shops,1,Sep-Feb,18.74806,73.40722
69,Lohagad Fort,Lonavala - Khandala,Historical & Cultural,Popular monsoon trek fort,2,Oct-Feb,18.710433,73.474369
70,Visapur Fort,Lonavala - Khandala,Historical & Cultural,Plateau fort next to Lohagad,3,Oct-Feb,18.710971,73.479516
71,Khandala Viewpoint,Lonavala - Khandala,Nature & Scenic,Scenic ridge overlooking valley,1.5,Sep-Feb,18.75811,73.373561
72,Tikona Fort,Lonavala - Khandala,Historical & Cultural,Triangular hill fort with lake views,2,Oct-Feb,18.686547,73.481213
73,Korigad Fort,Lonavala - Khandala,Historical & Cultural,Smaller fort with great views,2,Oct-Feb,18.759,73.435
